current_episode,step_count,neutering_rate,vaccination_rate,weekly_kill_rate,money,reward,dog_population,rabid_dog_population,vaccinated_dog_population
2,114,0.2,0.2,0.05,950.0,9.5,21,14,13
2,115,0.2,0.25,0.05,892.75,9.5,11,8,7
2,116,0.2,0.2,0.05,833.75,9.5,5,4,4
2,117,0.2,0.2,0.1,776.5,9.0,3,3,2
2,118,0.25,0.2,0.1,718.0,9.0,0,0,0
2,119,0.25,0.25,0.1,652.25,9.0,0,0,0
2,120,0.25,0.3,0.1,584.75,9.0,0,0,0
2,121,0.25,0.35,0.1,515.5,9.0,0,0,0
2,122,0.25,0.39999999999999997,0.1,444.5,9.0,0,0,0
2,123,0.3,0.39999999999999997,0.1,371.75,9.0,0,0,0
2,124,0.3,0.44999999999999996,0.1,291.75,9.0,0,0,0
2,125,0.3,0.49999999999999994,0.1,210.0,9.0,0,0,0
2,126,0.3,0.5499999999999999,0.1,126.5,9.0,0,0,0
2,127,0.3,0.6,0.1,41.25,-1.0,0,0,0
2,128,0.15000000000000002,0.2,0.05,1000,9.5,23,13,15
2,129,0.2,0.2,0.05,950.0,9.5,15,11,11
2,130,0.25,0.2,0.05,892.75,9.5,8,6,7
2,131,0.3,0.2,0.05,828.25,9.5,7,5,7
2,132,0.35,0.2,0.05,756.5,9.5,3,3,3
2,133,0.39999999999999997,0.2,0.05,677.5,9.5,2,2,2
2,134,0.39999999999999997,0.2,0.05,591.25,9.5,2,2,2
2,135,0.15000000000000002,0.2,0.05,1000,9.5,31,17,21
2,136,0.2,0.2,0.05,950.0,9.5,17,10,15
2,137,0.2,0.2,0.0,892.75,10.0,13,7,12
2,138,0.25,0.2,0.0,836.75,10.0,9,5,9
2,139,0.3,0.2,0.0,773.5,10.0,4,2,4
2,140,0.35,0.2,0.0,703.0,10.0,1,1,1
2,141,0.35,0.2,0.05,625.25,9.5,1,1,1
2,142,0.35,0.2,0.1,546.25,9.0,1,1,1
2,143,0.35,0.2,0.15000000000000002,466.0,8.5,0,0,0
2,144,0.39999999999999997,0.2,0.15000000000000002,384.5,8.5,0,0,0
2,145,0.44999999999999996,0.2,0.15000000000000002,295.75,8.5,0,0,0
2,146,0.49999999999999994,0.2,0.15000000000000002,199.75,8.5,0,0,0
2,147,0.5499999999999999,0.2,0.15000000000000002,96.50000000000001,-1.5000000000000002,0,0,0
2,148,0.15000000000000002,0.2,0.05,1000,9.5,27,16,14
2,149,0.2,0.2,0.05,950.0,9.5,20,11,13
2,150,0.25,0.2,0.05,892.75,9.5,11,6,8
3,151,0.1,0.2,0.05,1000,9.5,50,18,20
3,152,0.15000000000000002,0.2,0.05,957.25,9.5,30,14,14
3,153,0.2,0.2,0.05,907.25,9.5,19,8,11
3,154,0.25,0.2,0.05,850.0,9.5,9,6,7
3,155,0.25,0.2,0.0,785.5,10.0,4,3,3
3,156,0.3,0.2,0.0,722.25,10.0,2,1,1
3,157,0.3,0.2,0.0,651.75,10.0,2,1,2
3,158,0.3,0.2,0.0,581.25,10.0,2,1,2
3,159,0.3,0.2,0.0,510.75,10.0,1,1,1
3,160,0.3,0.25,0.0,440.25,10.0,1,1,1
3,161,0.3,0.3,0.0,368.0,10.0,1,1,1
3,162,0.3,0.35,0.0,294.0,10.0,0,0,0
3,163,0.3,0.35,0.05,218.25,9.5,0,0,0
3,164,0.3,0.35,0.1,141.25,9.0,0,0,0
3,165,0.3,0.35,0.15000000000000002,63.0,-1.5000000000000002,0,0,0
3,166,0.15000000000000002,0.2,0.05,1000,9.5,28,16,15
3,167,0.2,0.2,0.05,950.0,9.5,16,11,13
3,168,0.25,0.2,0.05,892.75,9.5,11,7,10
3,169,0.3,0.2,0.05,828.25,9.5,8,5,7
3,170,0.3,0.15000000000000002,0.05,756.5,9.5,6,3,6
3,171,0.3,0.15000000000000002,0.05,686.5,9.5,6,3,6
3,172,0.3,0.15000000000000002,0.05,616.5,9.5,3,1,3
3,173,0.3,0.15000000000000002,0.05,546.5,9.5,2,0,2
3,174,0.3,0.2,0.05,476.5,9.5,1,0,1
3,175,0.3,0.2,0.0,404.75,10.0,0,0,0
3,176,0.3,0.2,0.0,334.25,10.0,0,0,0
3,177,0.1,0.2,0.05,1000,9.5,25,12,14
3,178,0.15000000000000002,0.2,0.05,957.25,9.5,13,6,8
3,179,0.2,0.2,0.05,907.25,9.5,9,4,7
3,180,0.25,0.2,0.05,850.0,9.5,6,2,6
3,181,0.3,0.2,0.05,785.5,9.5,5,2,5
3,182,0.3,0.25,0.05,713.75,9.5,3,2,3
3,183,0.3,0.25,0.05,640.25,9.5,2,1,2
3,184,0.3,0.25,0.05,566.75,9.5,2,1,2
3,185,0.3,0.25,0.05,464.9125,9.5,1,0,1
3,186,0.35,0.25,0.05,339.829375,9.5,1,0,1
3,187,0.35,0.2,0.05,207.49625000000003,9.5,0,0,0
3,188,0.35,0.2,0.05,76.91312500000004,-0.5,0,0,0
3,189,0.1,0.2,0.0,1000,10.0,28,11,17
